id,code_iata,code_icao,country,municipality,name
57136,WGN,ZGSY,CN,Shaoyang,Shaoyang Wugang Airport
28431,ELD,KELD,US,El Dorado,South Arkansas Regional At Goodwin Field
21558,MSZ,FNMO,AO,Namibe,Namibe Airport
28744,GMU,KGMU,US,Greenville,Greenville Downtown Airport
57145,LHK,ZHGH,CN,Guanghua,Guangzhou MR Air Base
44225,BHA,SESV,EC,BahÃ­a de Caraquez,Los Perales Airport
56717,QRR,YWRN,AU,,Warren Airport
18194,XAR,DFOY,BF,Aribinda,Aribinda Airport
29686,COA,KO22,US,Columbia,Columbia Airport
33072,NAP,LIRN,IT,NÃ¡poli,Naples International Airport
33778,GKD,LT86,TR,GÃ¶kÃ§eada,GÃ¶kÃ§eada Airport
31329,SDX,KSEZ,US,Sedona,Sedona Airport
39708,PMS,OSPR,SY,Tadmur,Palmyra Airport
19758,SOG,ENSG,NO,Sogndal,Sogndal Airport
55472,CWT,YCWR,AU,,Cowra Airport
32683,CDG,LFPG,FR,Paris,Charles de Gaulle International Airport
54396,SXT,WMAN,MY,Taman Negara,Sungai Tiang Airport
38623,WIK,NZKE,NZ,,Waiheke Reeve Airport
20866,SZK,FASZ,ZA,Skukuza,Skukuza Airport
32769,SXB,LFST,FR,Strasbourg,Strasbourg Airport
19701,HFT,ENHF,NO,Hammerfest,Hammerfest Airport
10593,LNI,AK71,US,Lonely,Lonely Air Station
23936,LLI,HALL,ET,Lalibela,Lalibella Airport
12295,XIQ,BGIL,GL,Ilimanaq,Ilimanaq Heliport
47935,QGF,SSNG,BR,Montenegro,Montenegro Airport
55417,ODL,YCOD,AU,Cordillo Downs,Cordillo Downs Airport
30045,PTT,KPTT,US,Pratt,Pratt Regional Airport
31330,SFB,KSFB,US,Orlando,Orlando Sanford International Airport
57228,KHR,ZMHH,MN,,Kharkhorin Airport
54055,OKQ,WAKO,ID,Okaba-Papua Island,Okaba Airport
11852,IMD,AYIO,PG,Imonda,Imonda Airport
12473,BOK,BOK,US,Brookings,Brookings Airport
53631,HAQ,VRMH,MV,Haa Dhaalu Atoll,Hanimaadhoo Airport
15464,YAX,CKB6,CA,Angling Lake,Wapekeka Airport
31569,TVC,KTVC,US,Traverse City,Cherry Capital Airport
28889,HOB,KHOB,US,Hobbs,Lea County Regional Airport
23980,GLK,HCMR,SO,Galcaio,Galcaio Airport
23712,GLP,GLP,PG,Gulgubip,Gulgubip Airport
23992,OBC,HDOB,DJ,Obock,Obock Airport
38639,MHB,NZMB,NZ,Auckland City,Mechanics Bay Heliport
12406,RHA,BIRE,IS,ReykhÃ³lar,ReykhÃ³lar Airport
54536,OEC,WPOC,TL,Oecussi-Ambeno,Rota Do SÃ¢ndalo Oecusse Airport
56405,RSB,YRSB,AU,,Roseberth Airport
29058,IYK,KIYK,US,Inyokern,Inyokern Airport
55639,GBL,YGBI,AU,,South Goulburn Is Airport
29280,LUL,KLUL,US,Laurel,Hesler Noble Field
55750,HTU,YHPN,AU,,Hopetoun Airport
32761,BVE,LFSL,FR,Brive la Gaillarde,Brive-Souillac
32694,POX,LFPT,FR,Cormeilles-en-Vexin,AÃ©rodrome de Pontoise - Cormeilles en Vexin
31197,ROA,KROA,US,Roanoke,RoanokeâBlacksburg Regional Airport
21265,OUR,FKKI,CM,Batouri,Batouri Airport
18621,KOQ,EDCK,DE,KÃ¶then,KÃ¶then Airport
18691,EIB,EDGE,DE,Eisenach,Eisenach-Kindel Airport
42692,CUT,SAZW,AR,Cutral-Co,Cutral-Co Airport
47570,SQT,SQT,PG,Samarai Island,China Strait Airstrip
34755,CEN,MMCN,MX,Ciudad ObregÃ³n,Ciudad ObregÃ³n International Airport
28990,IAG,KIAG,US,Niagara Falls,Niagara Falls International Airport
41725,IPE,RPMV,PH,Ipil,Ipil Airport
56266,OSO,YOSB,AU,,Osborne Mine Airport
53710,KKM,VTBH,TH,,Sa Pran Nak Airport
40237,KUY,PG-KUY,PG,Kamusi,Kamusi Airport
56704,WOL,YWOL,AU,,Shellharbour Airport
29815,OCE,KOXB,US,Ocean City,Ocean City Municipal Airport
12180,ILL,BDH,US,Willmar,Willmar Municipal -John L Rice Field
46462,SRZ,SLET,BO,Santa Cruz,El Trompillo Airport
17027,YEM,CYEM,CA,Manitowaning,Manitoulin East Municipal Airport
46963,JCM,SNJB,BR,Jacobina,Jacobina Airport
41777,PPS,RPVP,PH,Puerto Princesa City,Puerto Princesa Airport
20476,PLQ,EYPA,LT,Palanga,Palanga International Airport
53062,KTI,VDKT,KH,Kratie,Kratie Airport
33751,SMV,LSZS,CH,,Samedan Airport
32565,CLY,LFKC,FR,Calvi/Sainte-Catherine,Calvi-Sainte-Catherine Airport
19364,BEB,EGPL,GB,Balivanich,Benbecula Airport
28946,HYS,KHYS,US,Hays,Hays Regional Airport
9912,CHU,9A3,US,Chuathbaluk,Chuathbaluk Airport
53460,BEK,VIBY,IN,Bareilly,Bareilly Air Force Station
19196,GLO,EGBJ,GB,Staverton,Gloucestershire Airport
43228,ZCO,SCQP,CL,Temuco,La AraucanÃ­a Airport
53324,IXI,VELR,IN,Lilabari,North Lakhimpur Airport
32184,ODB,LEBA,ES,CÃ³rdoba,CÃ³rdoba Airport
29300,LXV,KLXV,US,Leadville,Lake County Airport
57270,NKG,ZSNJ,CN,Nanjing,Nanjing Lukou Airport
31739,WLD,KWLD,US,Winfield/Arkansas City,Strother Field
44709,FRC,SIMK,BR,Franca,Tenente Lund Pressoto Airport
56119,MTD,YMSF,AU,,Mount Sanford Station Airport
33828,AOE,LTBY,TR,EskiÅehir,Anadolu Airport
24570,PPJ,ID-0003,ID,Jakarta,Pulau Panjang Airport
27835,CON,KCON,US,Concord,Concord Municipal Airport
24761,IUL,ID-IUL,ID,Ilu-Papua Island,Ilu Airport
27610,BIE,KBIE,US,Beatrice,Beatrice Municipal Airport
33314,LNC,LNC,PG,,Lengbati Airport
32177,ABC,LEAB,ES,Albacete,Albacete-Los Llanos Airport
53325,LDA,VEMH,IN,Malda,Malda Airport
44197,MRR,SEMA,EC,MacarÃ¡,Jose Maria Velasco Ibarra Airport
31263,PRZ,KS39,US,Prineville,Prineville Airport
39557,BDN,OPTH,PK,Badin,Talhar Airport
57311,WMT,ZUMT,CN,Zunyi,Zunyi Maotai Airport
52634,SKD,UTSS,UZ,Samarkand,Samarkand Airport
42758,GJM,SBGM,BR,GuajarÃ¡-Mirim,GuajarÃ¡-Mirim Airport
29017,ILE,KILE,US,Killeen,Skylark Field
15436,CKD,CJX,US,Crooked Creek,Crooked Creek Airport
19727,NVK,ENNK,NO,Narvik,Narvik Framnes Airport
29295,LWT,KLWT,US,Lewistown,Lewistown Municipal Airport
29403,XMD,KMDS,US,Madison,Madison Municipal Airport
50782,PES,ULPB,RU,Petrozavodsk,Petrozavodsk Airport
17258,YVQ,CYVQ,CA,Norman Wells,Norman Wells Airport
17513,ZJN,CZJN,CA,Swan River,Swan River Airport
17529,ZSJ,CZSJ,CA,Sandy Lake,Sandy Lake Airport
46335,LQM,SKLG,CO,Puerto LeguÃ­zamo,Caucaya Airport
27880,CVN,KCVN,US,Clovis,Clovis Municipal Airport
18290,ENU,DNEN,NG,Enegu,Akanu Ibiam International Airport
34545,TEA,MHTE,HN,Tela,Tela Airport
28018,DVT,KDVT,US,Phoenix,Phoenix Deer Valley Airport
26680,GCW,K1G4,US,Peach Springs,Grand Canyon West Airport
17254,YCK,CYVL,CA,Colville Lake,Tommy Kochon Airport
29420,MFV,KMFV,US,Melfa,Accomack County Airport
55993,MBB,YMBL,AU,,Marble Bar Airport
33787,GZT,LTAJ,TR,Gaziantep,Gaziantep International Airport
34946,BZA,MNBZ,NI,Bonanza,San Pedro Airport
56271,ADL,YPAD,AU,Adelaide,Adelaide International Airport
17639,COO,DBBB,BJ,Cotonou,Cadjehoun Airport
31593,BFG,KU07,US,Bullfrog,Bullfrog Basin Airport
29206,LEE,KLEE,US,Leesburg,Leesburg International Airport
10483,GEF,AGEV,SB,Liangia,Geva Airport
53585,BLR,VOBL,IN,Bangalore,Kempegowda International Airport
27941,DAY,KDAY,US,Dayton,James M Cox Dayton International Airport
19754,RYG,ENRY,NO,Oslo,"Moss Airport, Rygge"
21427,NLA,FLND,ZM,Ndola,Simon Mwansa Kapwepwe International Airport
32865,JSY,LGSO,GR,Syros Island,Syros Airport
36994,TBI,MYCB,BS,Cat Island,New Bight Airport
15110,XMP,CFC4,CA,Macmillan Pass,Macmillan Pass Airport
47223,OBI,SNTI,BR,Ãbidos,Ãbidos Airport
38246,HHZ,NTGH,PF,Hikueru Atoll,Hikueru Atoll Airport
47134,PIV,SNPX,BR,Pirapora,Pirapora Airport
28921,HTL,KHTL,US,Houghton Lake,Roscommon County - Blodgett Memorial Airport
33315,LNF,LNF,PG,,Munbil Airport
52495,NOJ,USRO,RU,Noyabrsk,Noyabrsk Airport
23991,MHI,HDMO,DJ,Moucha Island,Moucha Airport
19244,EOI,EGED,GB,Eday,Eday Airport
57231,MXV,ZMMN,MN,MÃ¶rÃ¶n,MÃ¶rÃ¶n Airport
54411,BWH,WMKB,MY,Butterworth,Butterworth Airport
46342,MFS,SKMF,CO,Miraflores,Miraflores Airport
32256,MAH,LEMH,ES,Menorca Island,Menorca Airport
55475,COY,YCWY,AU,Coolawanyah Station,Coolawanyah Airport
55928,LDC,YLIN,AU,Lindeman Island,Lindeman Island Airport
35232,TOO,MRSV,CR,Coto Brus,San Vito De Java Airport
35105,SYP,MPSA,PA,Santiago,Ruben Cantu Airport
38816,LQN,OAQN,AF,Qala-I-Naw,Qala-I-Naw Airport
17154,YOW,CYOW,CA,Ottawa,Ottawa Macdonald-Cartier International Airport
43835,QHB,SDPW,BR,Piracicaba,Piracicaba Airport
37665,TRW,NGTA,KI,Tarawa,Bonriki International Airport
48347,CUP,SVCP,VE,CarÃºpano,General Francisco BermÃºdez Airport
46382,SSL,SKSL,CO,Santa Rosalia,Santa Rosalia Airport
54645,WSA,WSA,PG,Wasua,Wasua Airport
55832,KCS,YKCS,AU,,Kings Creek Airport
17079,YHZ,CYHZ,CA,Halifax,Halifax / Stanfield International Airport
32331,ZAZ,LEZG,ES,Zaragoza,Zaragoza Air Base
31663,VAD,KVAD,US,Valdosta,Moody Air Force Base
17062,YQC,CYHA,CA,Quaqtaq,Quaqtaq Airport
12377,HVK,BIHK,IS,HÃ³lmavÃ­k,HÃ³lmavÃ­k Airport
38269,RRR,NTKO,PF,,Raroia Airport
46062,LMC,SK-307,CO,La Macarena,El Refugio/La Macarena Airport
17036,YFB,CYFB,CA,Iqaluit,Iqaluit Airport
10548,SOL,AK26,US,Solomon,Solomon State Field
56278,CCK,YPCC,CC,Cocos (Keeling) Islands,Cocos (Keeling) Islands Airport
39926,KKH,PADY,US,Kongiganak,Kongiganak Airport
21624,UEL,FQQL,MZ,Quelimane,Quelimane Airport
33050,QPA,LIPU,IT,Padova,Padova Airport
28000,DSV,KDSV,US,Dansville,Dansville Municipal Airport
32730,DNR,LFRD,FR,Dinard/Pleurtuit/Saint-Malo,Dinard-Pleurtuit-Saint-Malo Airport
23608,FLH,GB-FLH,GB,Flotta Isle,Flotta Isle Airport
53538,DNP,VNDG,NP,Dang,Tulsipur Airport
40441,JHM,PHJH,US,Lahaina,Kapalua Airport
54189,BKI,WBKK,MY,Kota Kinabalu,Kota Kinabalu International Airport
22359,KKW,FZCA,CD,,Kikwit Airport
27787,CID,KCID,US,Cedar Rapids,The Eastern Iowa Airport
46352,NQU,SKNQ,CO,NuquÃ­,Reyes Murillo Airport
53297,RGH,VEBG,IN,Balurghat,Balurghat Airport
17295,YYF,CYYF,CA,Penticton,Penticton Airport
56418,RHL,YRYH,AU,,Roy Hill Station Airport
50557,OYG,UG-OYG,UG,Moyo,Moyo Airport
4105,BYW,38WA,US,Blakely Island,Blakely Island Airport
19734,HOV,ENOV,NO,Ãrsta,"Ãrsta-Volda Airport, Hovden"
54007,UPG,WAAA,ID,Ujung Pandang-Celebes Island,Hasanuddin International Airport
39516,LHE,OPLA,PK,Lahore,Alama Iqbal International Airport
41141,PIF,RCSQ,TW,Pingtung,Pingtung North Airport
23767,DKR,GOOY,SN,Dakar,LÃ©opold SÃ©dar Senghor International Airport
39528,MUX,OPMT,PK,Multan,Multan International Airport
12003,WWK,AYWK,PG,Wewak,Wewak International Airport
49637,FAJ,TJFA,PR,Fajardo,Diego Jimenez Torres Airport
37617,RBI,NFFR,FJ,Rabi Island,Rabi Island Airport
49951,MQS,TVSM,VC,Mustique Island,Mustique Airport
42812,PMW,SBPJ,BR,Palmas,Brigadeiro Lysias Rodrigues Airport
20324,GVX,ESSK,SE,GÃ¤vle / Sandviken,GÃ¤vle Sandviken Airport
43288,ZIC,SCTO,CL,Victoria,Victoria Airport
56485,HLS,YSTH,AU,,St Helens Airport
55484,DNB,YDBR,AU,,Dunbar Airport
42636,LHS,SAVH,AR,Las Heras,Las Heras Airport
12403,NOR,BINF,IS,NorÃ°fjÃ¶rÃ°ur,NorÃ°fjÃ¶rÃ°ur Airport
20630,ASS,FACC,ZA,Arathusa,Arathusa Safari Lodge Airport
